word,start,end,duration,pause_after,syllables,n_voiced,f0_mean,f0_range,f0_slope,rms,intensity_db,hnr,alpha_ratio,dur_expected,dur_resid
problem.,26.808,27.088,0.28,0.02,2,50,93.5,25.0,-20.97,0.0532,67.04,6.8,-4.3,0.3089,-0.0983
I,27.108,27.188,0.08,0.02,1,16,96.0,7.0,-16.84,0.0621,69.37,7.4,-5.72,0.244,-1.1152
got,27.208,27.328,0.12,0.02,1,24,91.1,1.7,-2.51,0.0654,70.21,8.1,-4.67,0.244,-0.7098
all,27.348,27.488,0.14,0.02,1,17,88.1,2.7,-3.6,0.0419,66.07,5.8,-5.54,0.244,-0.5556
sorts,27.508,27.749,0.241,0.02,1,11,86.4,5.9,4.42,0.0418,65.03,2.7,-2.04,0.244,-0.0125
of,27.769,27.809,0.04,0.06,1,0,0.0,0.0,0.0,0.0166,58.07,0.0,0.0,0.244,-1.8084
collateral.,27.869,28.289,0.42,0.02,4,26,84.2,15.1,4.02,0.0469,66.7,1.4,-4.84,0.4387,-0.0436
I,28.309,28.429,0.12,0.02,1,24,87.0,3.2,2.48,0.0531,67.59,6.9,-3.99,0.244,-0.7098
have,28.449,28.529,0.08,0.02,1,16,83.7,4.3,-8.28,0.0363,64.8,6.7,-7.79,0.244,-1.1152
a,28.549,28.569,0.02,0.2,1,0,0.0,0.0,0.0,0.017,58.46,0.0,0.0,0.244,-2.5015
vintage,28.769,29.149,0.38,0.061,2,34,91.2,12.6,-8.03,0.0619,68.09,3.5,-2.2,0.3089,0.2071
car,29.21,29.45,0.24,0.02,1,21,91.1,12.7,-9.37,0.0549,66.06,2.8,-3.35,0.244,-0.0166
collection,29.47,29.95,0.48,0.04,3,35,84.3,5.5,-2.45,0.0493,66.58,1.6,-1.51,0.3738,0.25
worth,29.99,30.27,0.28,0.12,1,34,86.1,5.1,-2.22,0.0508,65.92,4.0,-4.57,0.244,0.1375
two,30.39,30.53,0.14,0.04,1,0,0.0,0.0,0.0,0.0736,70.74,0.6,-3.09,0.244,-0.5556
and,30.57,30.65,0.08,0.02,1,16,88.0,5.0,-16.52,0.0634,70.01,6.8,-6.86,0.244,-1.1152
a,30.67,30.71,0.04,0.04,1,8,87.4,5.0,24.11,0.0596,69.54,6.7,0.0,0.244,-1.8084
half,30.75,30.911,0.161,0.1,1,22,84.4,11.2,-14.07,0.036,62.93,3.9,-2.3,0.244,-0.4159
mil,31.011,31.251,0.24,0.06,1,48,102.6,31.2,24.95,0.0668,69.82,6.2,-4.51,0.244,-0.0166
or,31.311,31.391,0.08,0.02,1,16,82.9,3.4,-6.26,0.0325,64.15,4.8,-6.14,0.244,-1.1152
thereabouts.,31.411,31.951,0.54,0.38,3,68,89.9,32.7,10.78,0.0535,67.39,4.5,-2.35,0.3738,0.3678
How,32.331,32.411,0.08,0.02,1,5,71.5,0.7,0.38,0.1025,72.27,0.4,-3.18,0.244,-1.1152
do,32.431,32.572,0.141,0.02,1,28,137.1,14.9,-14.4,0.0593,69.38,5.8,-6.95,0.244,-0.5485
we,32.592,32.632,0.04,0.06,1,8,119.4,4.3,-15.34,0.0416,66.62,3.1,0.0,0.244,-1.8084
know,32.692,32.812,0.12,0.06,1,17,81.7,8.0,-15.71,0.0586,69.16,2.1,-4.01,0.244,-0.7098
that?,32.872,33.072,0.2,0.84,1,0,0.0,0.0,0.0,0.0308,62.7,1.3,-0.96,0.244,-0.199
"Well,",33.912,34.192,0.28,0.081,1,0,0.0,0.0,0.0,0.0524,68.11,0.6,-2.82,0.244,0.1375
what,34.273,34.413,0.14,0.08,1,7,112.2,3.4,4.47,0.0599,66.1,2.3,-3.51,0.244,-0.5556
kind,34.493,34.713,0.22,0.04,1,31,106.4,17.6,-16.18,0.0715,70.19,6.4,-5.98,0.244,-0.1036
of,34.753,34.813,0.06,0.2,1,8,83.9,2.3,6.47,0.0351,64.61,7.8,-7.86,0.244,-1.4029
fool,35.013,35.333,0.32,0.04,1,52,100.9,29.4,-19.21,0.0634,69.42,8.2,-10.92,0.244,0.271
would,35.373,35.533,0.16,0.04,1,18,90.9,4.3,-5.8,0.0548,68.21,5.6,-7.67,0.244,-0.4221
lie,35.573,35.753,0.18,0.02,1,36,93.0,4.8,1.28,0.0578,68.61,7.8,-2.47,0.244,-0.3043
to,35.773,35.833,0.06,0.101,1,8,91.7,2.6,10.47,0.0186,59.46,4.0,0.0,0.244,-1.4029
folks,35.934,36.174,0.24,0.04,1,19,96.8,6.1,-4.83,0.0535,66.33,4.8,-3.58,0.244,-0.0166
like,36.214,36.374,0.16,0.02,1,14,87.3,9.0,-12.06,0.0414,64.15,1.7,-2.52,0.244,-0.4221
you,36.394,36.534,0.14,0.04,1,14,97.1,10.5,-12.93,0.0675,69.48,3.3,-4.23,0.244,-0.5556
about,36.574,36.774,0.2,0.02,2,14,88.8,9.9,-0.43,0.0474,66.11,3.4,-2.32,0.3089,-0.4348
something,36.794,37.034,0.24,0.02,3,9,86.7,2.3,-1.43,0.0576,68.9,0.9,-6.23,0.3738,-0.4431
like,37.054,37.194,0.14,0.04,1,0,0.0,0.0,0.0,0.0468,65.64,-0.9,-4.65,0.244,-0.5556
that?,37.234,37.434,0.2,1.219,1,0,0.0,0.0,0.0,0.0598,68.35,0.4,-3.49,0.244,-0.199
If,38.653,38.713,0.06,0.04,1,0,0.0,0.0,0.0,0.0612,68.7,3.0,-6.35,0.244,-1.4029
you,38.753,38.873,0.12,0.04,1,23,132.9,22.1,-25.89,0.0844,70.95,5.2,-4.1,0.244,-0.7098
found,38.913,39.073,0.16,0.06,1,18,122.1,13.4,-14.53,0.0598,67.88,3.5,-0.85,0.244,-0.4221
out,39.133,39.213,0.08,0.06,1,16,110.6,3.5,-8.22,0.0516,68.18,10.3,-1.89,0.244,-1.1152
I,39.273,39.313,0.04,0.06,1,8,100.2,2.8,-14.78,0.0476,67.45,7.2,0.0,0.244,-1.8084
was,39.373,39.473,0.1,0.08,1,20,93.3,3.7,-2.1,0.0385,65.29,7.1,-6.26,0.244,-0.8921
"lying,",39.553,39.913,0.36,0.06,1,72,107.9,57.7,-22.6,0.0589,69.17,8.7,-5.27,0.244,0.3888
you'd,39.973,40.153,0.18,0.721,1,36,90.7,10.1,-11.68,0.0515,66.75,9.8,-7.24,0.244,-0.3043
kill,40.874,41.074,0.2,0.02,1,24,124.6,17.4,-11.18,0.0809,71.47,4.8,-3.4,0.244,-0.199
"me,",41.094,41.214,0.12,0.1,1,13,78.4,15.7,-32.95,0.0321,64.1,1.5,-9.55,0.244,-0.7098
right?,41.314,41.534,0.22,0.76,1,34,124.6,48.8,38.84,0.0638,69.42,5.4,-3.12,0.244,-0.1036
True.,42.294,42.574,0.28,1.021,1,42,143.5,13.7,-4.98,0.0736,70.16,7.9,-4.35,0.244,0.1375
Take,43.595,43.675,0.08,0.02,1,8,167.9,3.0,-4.82,0.1083,73.47,3.1,-2.73,0.244,-1.1152
a,43.695,43.775,0.08,0.02,1,14,165.8,8.7,9.25,0.0665,70.41,8.3,-4.07,0.244,-1.1152
seat.,43.795,43.975,0.18,0.46,1,22,159.1,43.9,-27.33,0.0552,67.58,5.4,-3.23,0.244,-0.3043
Thank,44.435,49.936,5.501,0.101,1,184,173.1,29.2,0.65,0.0467,66.28,-0.4,-4.44,0.244,3.1154
you.,50.037,51.737,1.7,3.261,1,40,178.3,7.7,0.25,0.037,65.05,0.3,-9.71,0.244,1.9411
25.,54.998,55.358,0.36,8.283,1,10,76.0,1.5,-0.58,0.0639,67.46,1.7,-6.08,0.244,0.3888
"Okay,",63.641,63.941,0.3,0.02,2,40,110.1,24.3,-9.16,0.0546,67.69,5.4,-3.12,0.3089,-0.0293
well,63.961,64.061,0.1,0.06,1,20,111.7,17.3,-30.41,0.0387,64.98,9.1,-12.0,0.244,-0.8921
I'm,64.121,64.181,0.06,0.02,1,12,126.5,1.1,3.07,0.0581,69.2,12.3,-9.56,0.244,-1.4029
gonna,64.201,64.441,0.24,0.16,2,35,107.1,29.4,-25.6,0.0604,69.17,7.8,-0.88,0.3089,-0.2525
see,64.601,64.881,0.28,0.04,1,31,122.5,19.0,-13.57,0.0627,68.31,5.2,-1.6,0.244,0.1375
you,64.921,65.261,0.34,0.42,1,48,91.6,7.1,9.39,0.0585,69.29,6.1,-11.9,0.244,0.3317
and,65.681,65.861,0.18,0.04,1,36,101.9,6.3,-1.02,0.0669,70.41,12.2,-7.76,0.244,-0.3043
then,65.901,66.061,0.16,0.14,1,30,100.8,3.7,1.74,0.0634,69.8,11.4,-6.82,0.244,-0.4221
I,66.201,66.302,0.101,0.04,1,20,97.8,3.6,1.84,0.0663,70.21,6.3,-6.79,0.244,-0.8822
will,66.342,66.542,0.2,0.16,1,40,95.2,3.4,-3.81,0.0651,70.05,14.1,-20.33,0.244,-0.199
raise,66.702,67.122,0.42,0.06,1,65,111.7,8.8,2.56,0.0606,69.43,10.7,-2.81,0.244,0.543
you...,67.182,67.662,0.48,6.398,1,74,88.2,4.3,-2.12,0.066,70.16,8.4,-10.47,0.244,0.6765
All,74.06,74.2,0.14,0.04,1,25,94.9,15.8,-24.75,0.0702,70.06,10.4,-14.34,0.244,-0.5556
in.,74.24,74.34,0.1,8.987,1,20,86.3,22.8,-23.35,0.0296,62.8,7.5,-11.1,0.244,-0.8921
You,83.327,83.447,0.12,0.021,1,14,98.5,5.4,10.38,0.1038,73.76,5.5,-7.96,0.244,-0.7098
"know,",83.468,83.628,0.16,0.04,1,32,100.5,17.8,-23.06,0.0644,67.77,8.1,-5.18,0.244,-0.4221
"Puss,",83.668,84.008,0.34,2.602,1,28,118.5,22.3,-14.08,0.06,68.65,3.2,1.11,0.244,0.3317
when,86.61,86.77,0.16,0.04,1,25,95.3,8.6,3.43,0.093,72.51,6.2,-10.68,0.244,-0.4221
you,86.81,86.97,0.16,0.04,1,32,109.2,24.4,-31.04,0.0595,68.91,6.0,-6.37,0.244,-0.4221
"bluff,",87.01,87.371,0.361,0.26,1,38,89.7,26.0,-18.86,0.0533,66.69,1.8,-4.31,0.244,0.3916
you,87.631,87.751,0.12,0.04,1,22,89.7,2.6,-4.97,0.0657,69.83,8.0,-11.42,0.244,-0.7098
have,87.791,87.991,0.2,0.02,1,28,73.5,15.3,-20.1,0.0551,67.77,2.7,-1.39,0.244,-0.199
a,88.011,88.031,0.02,0.1,1,0,0.0,0.0,0.0,0.0232,62.74,3.4,0.0,0.244,-2.5015
real,88.131,88.411,0.28,0.1,1,50,77.7,9.9,-3.52,0.0682,70.2,3.1,-5.17,0.244,0.1375
obvious,88.511,88.892,0.381,0.06,2,22,182.0,29.6,7.59,0.0313,61.21,2.5,3.48,0.3089,0.2097
tell.,88.952,89.232,0.28,2.062,1,0,0.0,0.0,0.0,0.0524,65.76,1.7,-3.68,0.244,0.1375
When,91.294,91.434,0.14,0.02,1,15,102.1,9.5,-13.49,0.0785,70.92,1.6,-2.21,0.244,-0.5556
I,91.454,91.494,0.04,0.04,1,0,0.0,0.0,0.0,0.0582,68.99,0.6,0.0,0.244,-1.8084
reach,91.534,91.734,0.2,0.02,1,19,99.3,8.4,-3.98,0.0595,68.88,4.8,2.94,0.244,-0.199
the,91.754,91.854,0.1,0.02,1,7,155.1,14.8,-20.6,0.0494,67.18,1.4,-9.26,0.244,-0.8921
tug,91.874,92.074,0.2,0.02,1,26,100.8,4.5,1.65,0.0711,69.7,4.6,-7.6,0.244,-0.199
of,92.094,92.134,0.04,0.04,1,8,98.7,1.4,-7.23,0.0633,69.96,8.8,0.0,0.244,-1.8084
my,92.174,92.274,0.1,0.081,1,20,95.9,0.4,-0.33,0.0666,70.36,9.5,-4.85,0.244,-0.8921
"ear,",92.355,92.495,0.14,0.02,1,28,100.7,7.0,-0.62,0.0536,67.25,6.3,-4.4,0.244,-0.5556
but,92.515,92.655,0.14,0.04,1,14,93.3,16.6,-24.43,0.03,62.92,3.5,-4.45,0.244,-0.5556
stop,92.695,92.975,0.28,0.02,1,25,172.2,25.0,-4.52,0.0536,65.17,4.0,-9.38,0.244,0.1375
"myself,",92.995,93.375,0.38,0.04,2,44,117.1,29.0,13.46,0.0533,66.48,4.5,-3.21,0.3089,0.2071
that,93.415,93.575,0.16,0.041,1,19,107.3,3.1,0.95,0.0571,65.06,5.6,-3.54,0.244,-0.4221
tell?,93.616,93.876,0.26,0.16,1,36,129.6,24.1,13.48,0.0536,66.06,8.7,-5.24,0.244,0.0634
Yeah.,94.036,95.637,1.601,1.061,1,148,109.9,1.0,-0.01,0.0437,61.75,8.7,-11.26,0.244,1.8811
"Oh,",96.698,96.838,0.14,0.24,1,28,186.8,95.9,-60.0,0.0387,65.61,7.4,-18.01,0.244,-0.5556
you,97.078,97.759,0.681,0.42,1,123,253.5,107.8,-1.24,0.0527,66.26,9.1,-12.3,0.244,1.0263
"bad,",98.179,98.82,0.641,0.04,1,76,206.7,109.7,5.04,0.0422,62.6,4.5,-3.88,0.244,0.9658
great,98.86,99.1,0.24,0.1,1,32,238.2,81.8,-26.41,0.0433,64.61,4.7,1.34,0.244,-0.0166
flush.,99.2,100.141,0.941,0.02,1,56,193.0,52.6,-3.52,0.0453,62.72,5.4,-8.03,0.244,1.3497
He,100.161,100.261,0.1,0.04,1,11,191.2,47.1,-45.5,0.0603,69.56,3.6,-9.94,0.244,-0.8921
got,100.301,100.521,0.22,0.04,1,38,223.6,76.9,-24.05,0.0522,66.13,5.7,-5.04,0.244,-0.1036
you,100.561,100.701,0.14,0.04,1,26,206.4,84.4,-60.0,0.0355,64.38,6.8,-6.52,0.244,-0.5556
good.,100.741,101.021,0.28,0.0,1,45,219.3,118.8,-44.95,0.0578,68.05,5.8,-6.92,0.244,0.1375
