word,start,f0_mean_control,f0_range_control,n_voiced,f0_mean_test,f0_range_test,d_f0_mean,d_f0_range
a,28.549,0.0,0.0,0,0.0,0.0,0.0,0.0
vintage,28.769,91.2,12.6,34,91.3,12.5,-0.1,0.1
car,29.21,91.1,12.7,21,91.3,18.3,-0.2,-5.6
collection,29.47,84.3,5.5,35,84.2,6.9,0.1,-1.4
worth,29.99,86.1,5.1,34,86.3,5.0,-0.2,0.1
two,30.39,0.0,0.0,0,0.0,0.0,0.0,0.0
and,30.57,88.0,5.0,16,87.9,5.3,0.1,-0.3
a,30.67,87.4,5.0,8,87.4,4.9,0.0,0.1
half,30.75,84.4,11.2,22,84.4,11.4,0.0,-0.2
mil,31.011,102.6,31.2,48,102.4,30.8,0.2,0.4
or,31.311,82.9,3.4,16,82.9,3.6,0.0,-0.2
thereabouts.,31.411,89.9,32.7,68,89.7,32.2,0.2,0.5
How,32.331,71.5,0.7,5,142.4,1.2,-70.9,-0.5
do,32.431,137.1,14.9,28,136.9,15.1,0.2,-0.2
we,32.592,119.4,4.3,8,120.8,26.7,-1.4,-22.4
know,32.692,81.7,8.0,17,81.8,9.6,-0.1,-1.6
that?,32.872,0.0,0.0,0,538.5,16.9,-538.5,-16.9
"Well,",33.912,0.0,0.0,0,0.0,0.0,0.0,0.0
what,34.273,112.2,3.4,7,112.2,3.7,0.0,-0.3
kind,34.493,106.4,17.6,31,106.3,18.0,0.1,-0.4
of,34.753,83.9,2.3,8,83.9,2.3,0.0,0.0
fool,35.013,100.9,29.4,52,100.3,29.1,0.6,0.3
would,35.373,90.9,4.3,18,90.8,10.4,0.1,-6.1
lie,35.573,93.0,4.8,36,92.9,4.9,0.1,-0.1
to,35.773,91.7,2.6,8,91.8,1.8,-0.1,0.8
folks,35.934,96.8,6.1,19,96.9,6.3,-0.1,-0.2
like,36.214,87.3,9.0,14,87.2,9.8,0.1,-0.8
you,36.394,97.1,10.5,14,97.2,10.8,-0.1,-0.3
about,36.574,88.8,9.9,14,89.4,11.6,-0.6,-1.7
something,36.794,86.7,2.3,9,86.9,2.3,-0.2,0.0
like,37.054,0.0,0.0,0,0.0,0.0,0.0,0.0
that?,37.234,0.0,0.0,0,0.0,0.0,0.0,0.0
If,38.653,0.0,0.0,0,0.0,0.0,0.0,0.0
you,38.753,132.9,22.1,23,132.8,16.6,0.1,5.5
found,38.913,122.1,13.4,18,121.9,13.9,0.2,-0.5
out,39.133,110.6,3.5,16,110.8,3.4,-0.2,0.1
I,39.273,100.2,2.8,8,100.0,2.6,0.2,0.2
was,39.373,93.3,3.7,20,93.2,3.9,0.1,-0.2
"lying,",39.553,107.9,57.7,72,106.9,57.4,1.0,0.3
you'd,39.973,90.7,10.1,36,90.6,10.8,0.1,-0.7
kill,40.874,124.6,17.4,24,124.5,18.0,0.1,-0.6
"me,",41.094,78.4,15.7,13,83.1,6.2,-4.7,9.5
right?,41.314,124.6,48.8,34,124.7,49.1,-0.1,-0.3
True.,42.294,143.5,13.7,42,143.4,12.4,0.1,1.3
Take,43.595,167.9,3.0,8,168.2,7.7,-0.3,-4.7
a,43.695,165.8,8.7,14,163.7,8.5,2.1,0.2
seat.,43.795,159.1,43.9,22,159.2,52.1,-0.1,-8.2
Thank,44.435,173.1,29.2,184,172.7,60.6,0.4,-31.4
you.,50.037,178.3,7.7,40,178.1,9.3,0.2,-1.6
25.,54.998,76.0,1.5,10,76.5,1.9,-0.5,-0.4
"Okay,",63.641,110.1,24.3,40,111.0,25.7,-0.9,-1.4
well,63.961,111.7,17.3,20,112.2,18.4,-0.5,-1.1
I'm,64.121,126.5,1.1,12,126.5,1.3,0.0,-0.2
gonna,64.201,107.1,29.4,35,107.1,30.0,0.0,-0.6
see,64.601,122.5,19.0,31,122.8,20.6,-0.3,-1.6
you,64.921,91.6,7.1,48,91.3,7.3,0.3,-0.2
and,65.681,101.9,6.3,36,102.0,6.5,-0.1,-0.2
then,65.901,100.8,3.7,30,100.7,5.6,0.1,-1.9
I,66.201,97.8,3.6,20,97.8,4.5,0.0,-0.9
will,66.342,95.2,3.4,40,95.1,3.5,0.1,-0.1
raise,66.702,111.7,8.8,65,111.8,8.7,-0.1,0.1
you...,67.182,88.2,4.3,74,88.0,4.2,0.2,0.1
All,74.06,94.9,15.8,25,95.4,16.3,-0.5,-0.5
in.,74.24,86.3,22.8,20,86.7,13.6,-0.4,9.2
You,83.327,98.5,5.4,14,97.2,14.5,1.3,-9.1
"know,",83.468,100.5,17.8,32,100.0,18.1,0.5,-0.3
"Puss,",83.668,118.5,22.3,28,118.3,21.6,0.2,0.7
when,86.61,95.3,8.6,25,95.3,8.0,0.0,0.6
you,86.81,109.2,24.4,32,111.7,21.9,-2.5,2.5
"bluff,",87.01,89.7,26.0,38,95.8,17.7,-6.1,8.3
you,87.631,89.7,2.6,22,89.7,2.7,0.0,-0.1
have,87.791,73.5,15.3,28,81.7,5.5,-8.2,9.8
a,88.011,0.0,0.0,0,0.0,0.0,0.0,0.0
real,88.131,77.7,9.9,50,78.7,4.4,-1.0,5.5
obvious,88.511,182.0,29.6,22,166.5,61.6,15.5,-32.0
tell.,88.952,0.0,0.0,0,309.0,21.4,-309.0,-21.4
When,91.294,102.1,9.5,15,102.1,8.4,0.0,1.1
I,91.454,0.0,0.0,0,0.0,0.0,0.0,0.0
reach,91.534,99.3,8.4,19,99.6,8.3,-0.3,0.1
the,91.754,155.1,14.8,7,154.6,17.3,0.5,-2.5
tug,91.874,100.8,4.5,26,100.5,4.5,0.3,0.0
of,92.094,98.7,1.4,8,98.6,1.4,0.1,0.0
my,92.174,95.9,0.4,20,95.9,0.6,0.0,-0.2
"ear,",92.355,100.7,7.0,28,100.8,7.3,-0.1,-0.3
but,92.515,93.3,16.6,14,93.6,17.8,-0.3,-1.2
stop,92.695,172.2,25.0,25,173.2,24.9,-1.0,0.1
"myself,",92.995,117.1,29.0,44,116.9,26.8,0.2,2.2
that,93.415,107.3,3.1,19,107.4,3.1,-0.1,0.0
tell?,93.616,129.6,24.1,36,129.8,24.6,-0.2,-0.5
Yeah.,94.036,109.9,1.0,148,109.9,1.2,0.0,-0.2
"Oh,",96.698,186.8,95.9,28,185.2,99.1,1.6,-3.2
you,97.078,253.5,107.8,123,269.9,102.2,-16.4,5.6
"bad,",98.179,206.7,109.7,76,235.5,118.0,-28.8,-8.3
great,98.86,238.2,81.8,32,238.1,81.5,0.1,0.3
flush.,99.2,193.0,52.6,56,192.6,50.9,0.4,1.7
He,100.161,191.2,47.1,11,192.8,45.5,-1.6,1.6
got,100.301,223.6,76.9,38,221.4,68.5,2.2,8.4
you,100.561,206.4,84.4,26,208.2,85.6,-1.8,-1.2
good.,100.741,219.3,118.8,45,231.8,109.0,-12.5,9.8
